
filename,"10.1021acs.langmuir.7b02686.Isotherm8"
DOI,"10.1021/acs.langmuir.7b02686"
articleSource,"Figure 8"
date,"2019-07-01"
digitizer,"Noah C. Whelpley"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"338"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"moleratio"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0219"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.3353"
line_id,"2"
pressure,"0.0695"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.0838"
line_id,"3"
pressure,"0.112"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.5889"
line_id,"4"
pressure,"0.1352"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.0718"
line_id,"5"
pressure,"0.1892"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.5252"
line_id,"6"
pressure,"0.2472"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.1116"
line_id,"7"
pressure,"0.4209"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.5821"
line_id,"8"
pressure,"0.5985"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.9246"
line_id,"9"
pressure,"1.0078"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.3065"
line_id,"10"
pressure,"1.506"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.6096"
line_id,"11"
pressure,"2.5099"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.9397"
line_id,"12"
pressure,"3.9927"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.2132"
line_id,"13"
pressure,"5.9813"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.4473"
line_id,"14"
pressure,"10.0048"
total_adsorption,""
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.6616"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0219","1","0.3353",""
2,"0.0695","1","1.0838",""
3,"0.112","1","1.5889",""
4,"0.1352","1","2.0718",""
5,"0.1892","1","2.5252",""
6,"0.2472","1","3.1116",""
7,"0.4209","1","3.5821",""
8,"0.5985","1","3.9246",""
9,"1.0078","1","4.3065",""
10,"1.506","1","4.6096",""
11,"2.5099","1","4.9397",""
12,"3.9927","1","5.2132",""
13,"5.9813","1","5.4473",""
14,"10.0048","1","5.6616",""
