
filename,"10.1021ie400380w.isotherm9"
DOI,"10.1021/ie400380w"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"273"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0036008"
total_adsorption,"0.0916103"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0916103"
line_id,"2"
pressure,"0.00885901"
total_adsorption,"1.48316"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.48316"
line_id,"3"
pressure,"0.0101736"
total_adsorption,"1.9395"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.9395"
line_id,"4"
pressure,"0.0180609"
total_adsorption,"2.3733"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.3733"
line_id,"5"
pressure,"0.0272628"
total_adsorption,"2.74513"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.74513"
line_id,"6"
pressure,"0.0496102"
total_adsorption,"3.26344"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.26344"
line_id,"7"
pressure,"0.0811595"
total_adsorption,"3.69724"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.69724"
line_id,"8"
pressure,"0.115338"
total_adsorption,"3.9395"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.9395"
line_id,"9"
pressure,"0.169235"
total_adsorption,"4.21555"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.21555"
line_id,"10"
pressure,"0.237591"
total_adsorption,"4.4071"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.4071"
line_id,"11"
pressure,"0.311206"
total_adsorption,"4.58175"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.58175"
line_id,"12"
pressure,"0.412427"
total_adsorption,"4.73386"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.73386"
line_id,"13"
pressure,"0.52285"
total_adsorption,"4.85217"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.85217"
line_id,"14"
pressure,"0.633272"
total_adsorption,"4.94795"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.94795"
line_id,"15"
pressure,"0.745009"
total_adsorption,"5.03809"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.03809"
line_id,"16"
pressure,"0.83177"
total_adsorption,"5.10569"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.10569"
line_id,"17"
pressure,"0.919845"
total_adsorption,"5.1564"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.1564"
line_id,"18"
pressure,"1.00398"
total_adsorption,"5.17893"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.17893"
line_id,"19"
pressure,"1.14726"
total_adsorption,"5.25781"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.25781"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0036008","1","0.0916103","0.0916103"
2,"0.00885901","1","1.48316","1.48316"
3,"0.0101736","1","1.9395","1.9395"
4,"0.0180609","1","2.3733","2.3733"
5,"0.0272628","1","2.74513","2.74513"
6,"0.0496102","1","3.26344","3.26344"
7,"0.0811595","1","3.69724","3.69724"
8,"0.115338","1","3.9395","3.9395"
9,"0.169235","1","4.21555","4.21555"
10,"0.237591","1","4.4071","4.4071"
11,"0.311206","1","4.58175","4.58175"
12,"0.412427","1","4.73386","4.73386"
13,"0.52285","1","4.85217","4.85217"
14,"0.633272","1","4.94795","4.94795"
15,"0.745009","1","5.03809","5.03809"
16,"0.83177","1","5.10569","5.10569"
17,"0.919845","1","5.1564","5.1564"
18,"1.00398","1","5.17893","5.17893"
19,"1.14726","1","5.25781","5.25781"
