
filename,"10.1021jacs.5b00838.Isotherm7"
DOI,"10.1021/jacs.5b00838"
articleSource,"Figure 7"
date,"2016-07-05"
digitizer,"Adithya Varadan"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"313"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0"
total_adsorption,"0"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0"
line_id,"2"
pressure,"0.003702"
total_adsorption,"0.762073"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.762073"
line_id,"3"
pressure,"0.021179"
total_adsorption,"2.12341"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.12341"
line_id,"4"
pressure,"0.065618"
total_adsorption,"3.29549"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.29549"
line_id,"5"
pressure,"0.130086"
total_adsorption,"3.86985"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.86985"
line_id,"6"
pressure,"0.194462"
total_adsorption,"4.22651"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.22651"
line_id,"7"
pressure,"0.25202"
total_adsorption,"4.4468"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.4468"
line_id,"8"
pressure,"0.319684"
total_adsorption,"4.58593"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.58593"
line_id,"9"
pressure,"0.367055"
total_adsorption,"4.69692"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.69692"
line_id,"10"
pressure,"0.455002"
total_adsorption,"4.83696"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.83696"
line_id,"11"
pressure,"0.546328"
total_adsorption,"4.97716"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.97716"
line_id,"12"
pressure,"0.651154"
total_adsorption,"5.06354"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.06354"
line_id,"13"
pressure,"0.752598"
total_adsorption,"5.14978"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.14978"
line_id,"14"
pressure,"0.857424"
total_adsorption,"5.23616"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.23616"
line_id,"15"
pressure,"0.945336"
total_adsorption,"5.29457"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.29457"
line_id,"16"
pressure,"1.05353"
total_adsorption,"5.3539"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.3539"
line_id,"17"
pressure,"1.12454"
total_adsorption,"5.41154"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.41154"
line_id,"18"
pressure,"1.1854"
total_adsorption,"5.44151"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.44151"
line_id,"19"
pressure,"1.20231"
total_adsorption,"5.46949"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.46949"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0","1","0","0"
2,"0.003702","1","0.762073","0.762073"
3,"0.021179","1","2.12341","2.12341"
4,"0.065618","1","3.29549","3.29549"
5,"0.130086","1","3.86985","3.86985"
6,"0.194462","1","4.22651","4.22651"
7,"0.25202","1","4.4468","4.4468"
8,"0.319684","1","4.58593","4.58593"
9,"0.367055","1","4.69692","4.69692"
10,"0.455002","1","4.83696","4.83696"
11,"0.546328","1","4.97716","4.97716"
12,"0.651154","1","5.06354","5.06354"
13,"0.752598","1","5.14978","5.14978"
14,"0.857424","1","5.23616","5.23616"
15,"0.945336","1","5.29457","5.29457"
16,"1.05353","1","5.3539","5.3539"
17,"1.12454","1","5.41154","5.41154"
18,"1.1854","1","5.44151","5.44151"
19,"1.20231","1","5.46949","5.46949"
