
filename,"10.1021je00028a029.Isotherm15"
DOI,"10.1021/je00028a029"
articleSource,"Table 1"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0024"
total_adsorption,"0.44"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.44"
line_id,"2"
pressure,"0.0037"
total_adsorption,"0.61"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.61"
line_id,"3"
pressure,"0.0078"
total_adsorption,"0.74"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.74"
line_id,"4"
pressure,"0.0088"
total_adsorption,"0.93"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.93"
line_id,"5"
pressure,"0.0216"
total_adsorption,"1.19"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.19"
line_id,"6"
pressure,"0.0239"
total_adsorption,"1.28"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.28"
line_id,"7"
pressure,"0.028"
total_adsorption,"1.4"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.4"
line_id,"8"
pressure,"0.0378"
total_adsorption,"1.57"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.57"
line_id,"9"
pressure,"0.0725"
total_adsorption,"2.02"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.02"
line_id,"10"
pressure,"0.0826"
total_adsorption,"2.16"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.16"
line_id,"11"
pressure,"0.1591"
total_adsorption,"2.68"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.68"
line_id,"12"
pressure,"0.2219"
total_adsorption,"2.99"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.99"
line_id,"13"
pressure,"0.2316"
total_adsorption,"3.02"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.02"
line_id,"14"
pressure,"0.2974"
total_adsorption,"3.19"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.19"
line_id,"15"
pressure,"0.4579"
total_adsorption,"3.44"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.44"
line_id,"16"
pressure,"0.5486"
total_adsorption,"3.6"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.6"
line_id,"17"
pressure,"0.7276"
total_adsorption,"3.71"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.71"
line_id,"18"
pressure,"0.8725"
total_adsorption,"3.84"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.84"
line_id,"19"
pressure,"1.0232"
total_adsorption,"3.92"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.92"
line_id,"20"
pressure,"1.3784"
total_adsorption,"4.02"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.02"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0024","1","0.44","0.44"
2,"0.0037","1","0.61","0.61"
3,"0.0078","1","0.74","0.74"
4,"0.0088","1","0.93","0.93"
5,"0.0216","1","1.19","1.19"
6,"0.0239","1","1.28","1.28"
7,"0.028","1","1.4","1.4"
8,"0.0378","1","1.57","1.57"
9,"0.0725","1","2.02","2.02"
10,"0.0826","1","2.16","2.16"
11,"0.1591","1","2.68","2.68"
12,"0.2219","1","2.99","2.99"
13,"0.2316","1","3.02","3.02"
14,"0.2974","1","3.19","3.19"
15,"0.4579","1","3.44","3.44"
16,"0.5486","1","3.6","3.6"
17,"0.7276","1","3.71","3.71"
18,"0.8725","1","3.84","3.84"
19,"1.0232","1","3.92","3.92"
20,"1.3784","1","4.02","4.02"
