
filename,"10.1021je9702100.Isotherm62"
DOI,"10.1021/je9702100"
articleSource,"Table 2"
date,"2020-12-31"
digitizer,"BISON-20 Team"
adsorbent
hashkey,"NIST-MATDB-cc2307c16d984e7a553f3fd73011b21d"
name,"ZSM-5 zeolite (Si/Al=15)"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,"exp"
temperature,"293"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0137"
total_adsorption,"1.005"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.005"
line_id,"2"
pressure,"0.0668"
total_adsorption,"1.319"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.319"
line_id,"3"
pressure,"0.1315"
total_adsorption,"1.474"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.474"
line_id,"4"
pressure,"0.2632"
total_adsorption,"1.732"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.732"
line_id,"5"
pressure,"0.3912"
total_adsorption,"1.859"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.859"
line_id,"6"
pressure,"0.6657"
total_adsorption,"2.019"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.019"
line_id,"7"
pressure,"0.9102"
total_adsorption,"2.114"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.114"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0137","1","1.005","1.005"
2,"0.0668","1","1.319","1.319"
3,"0.1315","1","1.474","1.474"
4,"0.2632","1","1.732","1.732"
5,"0.3912","1","1.859","1.859"
6,"0.6657","1","2.019","2.019"
7,"0.9102","1","2.114","2.114"
