adsorbent,adsorbates,temperature(k),pressure,pressureUnits,total_adsorption,adsorptionUnits,DOI
Zeolite LS-Li-KFI,Carbon Dioxide,303,0.235795,bar,0.235795,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,0.516862,bar,0.516862,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,1.22177,bar,1.22177,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,2.84477,bar,2.84477,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,6.82676,bar,6.82676,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,16.3826,bar,16.3826,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,34.3209,bar,34.3209,mmol/g,10.1021/La400352r
Zeolite LS-Li-KFI,Carbon Dioxide,303,43.0406,bar,43.0406,mmol/g,10.1021/La400352r
Zeolite 5A,Carbon Dioxide,303,0.242,bar,0.242,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,0.323,bar,0.323,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,0.404,bar,0.404,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,0.646,bar,0.646,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,1.05,bar,1.05,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,2.1,bar,2.1,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,2.83,bar,2.83,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,4.12,bar,4.12,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,5.17,bar,5.17,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,6.22,bar,6.22,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,7.35,bar,7.35,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,8.48,bar,8.48,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,9.53,bar,9.53,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,10.3,bar,10.3,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,11.6,bar,11.6,mmol/g,10.1002/ceat.270170507
Zeolite 5A,Carbon Dioxide,303,14.5,bar,14.5,mmol/g,10.1002/ceat.270170507
